query,pos,query_en,pos_en
"Ai là tác giả của ""Những cuộc phiêu lưu của Tom Sawyer""","Trong cuốn tự truyện của mình, Mark Twain cho rằng ""Tom Sawyer"" là tác phẩm đầu tiên của ông mà bản thảo được đánh máy. Tuy nhiên theo nhà sử học nghiên cứu về đánh máy Darryl Rehr, tác phẩm đầu tiên được đánh máy của Twain là ""Cuộc sống trên dòng sông Mississippi"".","Who is the author of ""The Adventures of Tom Sawyer""","In his autobiography, Mark Twain suggests that “Tom Sawyer"" was his first work whose manuscript was typed. However according to typographical historian Darryl Rehr, Twain's first work to be typed was “Life on the Mississippi River""."
Thủ lĩnh của Khomer đỏ là ai,Khmer Đỏ/Người lãnh đạo Pol Pot,Who is the leader of the Red Khomer,Khmer Rouge/Leader Pol Pot
Viết đầy đủ của WTO,WTO là viết tắt của World Trade Organization: Tổ Chức Thương Mại Thế Giới,Full Write of WTO,WTO stands for World Trade Organization.
Sóng điện từ có bước sóng từ 100m – 10m được gọi là sóng gì,"T.số 3 -30MHz (b.sóng từ 100 -10m) Năng  lượng lớn . Sóng này được tầng điện ly phản xạ về mặt  đất, mặt đất phản xạ lần hai,tầng điện ly phản xạ lần ba  v.v .Đài phát sóng ngắn tuyền sóng đi được mọi điểm  trên mặt đất",Electromagnetic waves with a wavelength of 100m – 10m are called what waves,"T.number 3 -30MHz (b.wave from 100 -10m) Large energy. This wave is reflected to the ground by the ionosphere, the ground reflects the second time, the ionosphere reflects the third time, etc. Shortwave broadcasting waves travel to every point on the ground"
Hội chữ thập đỏ được thành lập vào năm nào,Hội Chữ Thập Đỏ Việt Nam có tên gọi ban đầu là Hồng Thập Tự Việt Nam. Hội được thành lập ngày 23/11/1946...,What year was the Red Cross founded,"The Red Cross Society of Vietnam was originally known as the Red Cross of Vietnam. It was founded on November 23, 1946..."
Bộ trưởng bộ khoa học công nghệ hiện nay là ai,"Chu Ngọc Anh (sinh 17 tháng 6 năm 1965) là một Tiến sĩ và chính khách Việt Nam. Ông hiện là Ủy viên Ban Chấp hành Trung ương Đảng Cộng sản Việt Nam khóa XII, Bộ trưởng Bộ Khoa học và Công nghệ.",Who is the current Minister of Science and Technology,"Chu Ngoc Anh (born 17 June 1965) is a Vietnamese doctor and politician. He is currently a member of the 12th Central Committee of the Communist Party of Vietnam, Minister of Science and Technology."
Viết đầy đủ của BBC,"BBC (viết tắt cụm từ tiếng Anh: British Broadcasting Corporation, phát âm như bi-bi-xi) là thông tấn xã quốc gia của Vương quốc Liên hiệp Anh và Bắc Ireland. BBC là đài truyền hình quốc gia lâu đời nhất trên thế giới cũng như là đài truyền hình lớn nhất thế giới theo số lượng nhân viên (hơn 20 nghìn nhân viên, hơn 35 nghìn nếu tính thêm các nhân viên bán thời gian và nhân viên hợp đồng ngắn hạn). Trụ sở của BBC nằm ở Broadcasting House ở Luân Đôn. Các sản phẩm của BBC bao gồm các chương trình và thông tin trên TV, trên đài phát thanh và trên Internet. Nhiệm vụ chính của BBC là đưa truyền thông đại chúng trung lập tại Anh Quốc, Channel Islands và Isle of Man.",Full BBC Writing,"The BBC (abbreviated to British Broadcasting Corporation, pronounced bi-bi-xi) is the national news agency of the United Kingdom. The BBC is the oldest national broadcaster in the world as well as the largest in the world by number of employees (more than 20 thousand employees, more than 35 thousand if part-time and short-term contract employees are included). The headquarters of the BBC is located in Broadcasting House in London. The BBC's products include programs and information on TV, on radio and on the Internet. The main task of the BBC is to bring neutral mass media in the United Kingdom, the Channel Islands and the Isle of Man."
Nam bộ kháng chiến bắt đầu ở Sài Gòn vào ngày tháng năm nào,"Đến chiều, Ủy ban Kháng chiến Nam Bộ ra tuyên cáo: """"Sáng hôm 23 tháng 9, quân Pháp công nhiêm chiếm trụ sở Ủy ban hành chính Nam Bộ và quốc gia tự vệ cuộc. Chúng đã gây đổ máu ở đường phố Sài Gòn... Không lẽ chịu nhục hoài; vì danh dự của dân tộc, chúng ta coi trọng quyền lợi của quốc gia, nên chúng tôi phải đánh điện ra Trung ương xin phép cho kháng chiến...""""",What date did the southern resistance begin in Saigon,"In the afternoon, the Southern Resistance Committee issued a statement: ""On the morning of September 23, the French troops occupied the headquarters of the Southern Administrative Committee and the country defended itself. They caused bloodshed in the streets of Saigon.... They must not be constantly humiliated; for the honor of the nation, we value the interests of the nation, so we have to wire the Central Committee to ask permission for the resistance..."""
ông vua nhạc Rock là ai,"Elvis Presley. Elvis Aron Presley (8 tháng 1 năm 1935 – 16 tháng 8 năm 1977), còn được gọi là Vua nhạc rock and roll (đôi khi nói tắt là The King), là một ca sĩ và diễn viên người Mỹ.",Who is the king of rock music,"Elvis Aron Presley (January 8, 1935 – August 16, 1977), also known as the King of rock and roll, was an American singer and actor."
Quốc gia có nhiều người Hồi giáo nhất trên Thế Giới,"Hiện nay, hầu hết các tường thuật có tính cập nhật từ một nhóm chuyên gia Hoa Kỳ và PBS ước tính có từ 1,2 đến 1,57 tỷ người Hồi giáo trên thế giới, hoặc khoảng 20% trong 6,8 tỉ người trên toàn cầu vào năm 2009. Khoảng 13% số người Hồi giáo sinh sống tại Indonesia, quốc gia Hồi giáo lớn nhất trên thế giới, 25% tại Nam Á, 20% tại Trung Đông, 2% tại Trung Á, 4% tại các quốc gia Đông Nam Á khác, và 15% tại châu Phi hạ Sahara. Các cộng đồng Hồi giáo khá lớn cũng hiện diện tại Trung Quốc và Nga, và nhiều nơi tại vùng Caribe. Những cộng đồng cải đạo và nhập cư Hồi giáo có mặt ở hầu như mọi nơi trên thế giới.",The most Muslim country in the world,"Currently, most up-to-date reports from a U.S. panel of experts and PBS estimate that there were between 1.2 and 1.57 billion Muslims in the world, or about 20% of the 6.8 billion globally in 2009. About 13% of Muslims live in Indonesia, the largest Muslim country in the world, 25% in South Asia, 20% in the Middle East, 2% in Central Asia, 4% in other Southeast Asian countries, and 15% in Sub-Saharan Africa. sizable Muslim communities are also present in China and Russia, and in many parts of the Caribbean. Muslim converting and immigrant communities are present in virtually every part of the world."
Quốc gia có nhiều người Hồi giáo nhất trên Thế Giới,"Hầu hết người theo đạo Hồi thuộc hai dòng, Sunni (75–90%), hoặc Shia (10–20%). Có khoảng 13% người theo đạo Hồi sống ở Indonesia, cộng đồng quốc gia Hồi giáo lớn nhất chiếm 25% ở Nam Á, 20% Trung Đông, và 15% ở hạ Sahara. Một số cộng đồng khác ở Châu Âu, Trung Quốc, Nga, và châu Mỹ. Các cộng đồng di dân và chuyển đạo cũng có ở nhiều nơi trên thế giới.",The most Muslim country in the world,"Most Muslims belong to two lineages, Sunni (75–90%), or Shia (10–20%). Approximately 13% of Muslims live in Indonesia, the largest Muslim national community comprising 25% in South Asia, 20% in the Middle East, and 15% in sub-Saharan Africa. Other communities are in Europe, China, Russia, and the Americas. Migration and conversion communities are also present in many parts of the world."
Con sông chảy qua thành phố Pari,"Dòng sông Seine dài hơn 770 km chảy qua nhiều khu vực hành chính của Pháp, nổi tiếng nhất là đoạn chảy qua thành phố Paris. Có hàng chục cây cầu bắc ngang sông Seine trong địa phận thành phố Paris. Mỗi cây cầu mang một vẻ đẹp kiến trúc và lịch sử riêng biệt của mình.",The river that flows through Paris,"The Seine, more than 770 km long, flows through many administrative regions of France, most famously through Paris. There are dozens of bridges across the Seine in Paris. Each bridge has its own unique architectural and historical beauty."
Nước nào có nhiều di sản nhất được UNESCO công nhận,"Italy, Trung Quốc, Tây Ban Nha hay Pháp là những quốc gia nắm giữ nhiều di sản nhất.",Which country has the most heritage sites recognized by UNESCO,"Italy, China, Spain or France hold the most heritage."
Ai phát minh ra đèn điện,"Câu chuyện bóng đèn điện bắt đầu từ lâu trước khi Edison đăng kí sáng chế bóng đèn thương mại thành công đầu tiên vào năm 1879. Vào năm 1800, nhà phát minh người Italia Alessandro Volta đã phát triển phương pháp thực tiễn đầu tiên làm phát ra điện, đó là cột volta.",Who invented the electric light,"The electric bulb story begins long before Edison patented the first successful commercial bulb in 1879. In 1800, the Italian inventor Alessandro Volta developed the first practical method of generating electricity, which was the volta column."
PSP là sản phẩm của hãng nào,Sony lần đầu tiên công bố phát triển PlayStation Portable tại một cuộc họp báo trong E3 2003.,Whose PSP product is it?,Sony first announced development of the PlayStation Portable at a press conference during E3 2003.
Sông có diện tích lưu vực lớn nhất thế giới là con sông nào,"Amazon có lưu vực rộng nhất thế giới với hơn 1.000 sông nhánh đan chéo nhau dệt thành một mạng sông dày đặc, trong đó có hơn 17 nhánh có chiều dài 1.500 km. Lưu vực Amazon chiếm khoảng 40% tổng diện tích đại lục Nam Mỹ, lớn gấp đôi diện tích lưu vực sông Congo ở châu Phi.",Which river has the largest catchment area in the world,"The Amazon has the world's widest basin with more than 1,000 branches crisscrossing each other in a dense network of rivers, including more than 17 branches with a length of 1,500 km. The Amazon basin accounts for about 40% of the total area of mainland South America, twice the area of the Congo River basin in Africa."
Sông có diện tích lưu vực lớn nhất thế giới là con sông nào,"Lưu vực sông bao phủ phần lớn rừng Amazon, khu rừng nhiệt đới lớn nhất trên thế giới, chiếm diện tích 5.500.000 km2 (phần lớn ở Brasil).",Which river has the largest catchment area in the world,"The river basin covers much of the Amazon forest, the largest tropical forest in the world, covering an area of 5,500,000 km2 (most of Brazil)."
